,제목,주소,경도,위도
91,정동점, 서울 중구 정동길 2-1,126.969338,37.5679589
92,중림점, 서울 중구 청파로 464,126.968323,37.5606155
93,청구역점, 서울 중구 다산로 181-2,127.013210,37.5597636
94,충무로3가점, 서울 중구 퇴계로27길 31,126.991230,37.5625478
95,충무로점, 서울 중구 퇴계로 188,126.992532,37.5608090
96,충무아트홀점, 서울 중구 퇴계로 381-1,127.013980,37.5652596
97,충무필동점, 서울 중구 퇴계로 218-5,126.996256,37.5613678
98,충정로역점, 서울 중구 중림로 10,126.965291,37.5581008
99,태평로점, 서울 중구 세종대로11길 26,126.974468,37.5623650
100,퇴계로2길점, 서울 중구 퇴계로2길 1,126.977389,37.5575543
101,한국은행점, 서울 중구 남대문로 29-2,126.978939,37.5614289
102,황학롯데캐슬점, 서울 중구 청계천로 400,127.021407,37.5709618
103,회현SK리더스점, 서울 중구 퇴계로 72,126.980829,37.5591677
104,강남센트럴시티점, 서울 서초구 신반포로 176,127.003599,37.5043439
105,교대역점, 서울 서초구 서초대로56길 22,127.017101,37.4934768
106,교육개발원사거리점, 서울 서초구 바우뫼로 180,127.039810,37.4782537
107,국립중앙도서관디지털관점, 서울 서초구 반포대로 201,127.003350,37.4972981
108,국립중앙도서관본관점, 서울 서초구 반포대로 201,127.003350,37.4972981
109,남부터미널점, 서울 서초구 서초동 ,우편번호없음,x좌표없음
110,내방역점, 서울 서초구 서초대로 108,126.994282,37.4875220
111,반포지하상가점, 서울 서초구 신반포로 지하,우편번호없음,x좌표없음
112,방배백석점, 서울 서초구 방배로 42,126.999789,37.4786924
113,방배역점, 서울 서초구 방배로 87,126.996871,37.4821612
114,방배중앙점, 서울 서초구 동광로 1,126.983008,37.4910527
115,서울고교점, 서울 서초구 서초동 ,우편번호없음,x좌표없음
116,서울고속버스터미널점, 서울 서초구 신반포로 194,127.007105,37.5055601
117,서울교대점, 서울 서초구 서초동 ,우편번호없음,x좌표없음
118,서초법조타운점, 서울 서초구 서초중앙로24길 7,127.014477,37.4947746
119,서초역점, 서울 서초구 서초동 ,우편번호없음,x좌표없음
120,서초우면중앙점, 서울 서초구 양재대로2길 100-11,127.016223,37.4564456
121,서초점, 서울 서초구 서초대로48길 16,127.011311,37.4920358
122,신논현역점,  서울 서초구 강남대로79길,우편번호없음,x좌표없음
123,양재언남점, 서울 서초구 동산로 60,127.045425,37.4716654
124,양재점, 서울 서초구 남부순환로347길 38,127.031470,37.4860227
125,양재중앙점, 서울 서초구 강남대로 221,127.034307,37.4834001
126,양재하나로마트점, 서울 서초구 청계산로 10,127.043827,37.4630613
127,예술의전당점, 서울 서초구 반포대로 32,127.012124,37.4834312
128,우면동점, 서울 서초구 바우뫼로 20,127.025269,37.4699863
129,잠원논현점, 서울 서초구 신반포로 333,127.020045,37.5109017
130,청계산입구역점, 서울 서초구 신원동,우편번호없음,x좌표없음
131,포이점, 서울 서초구 마방로10길 42,127.044535,37.4756391
132,함지박사거리점, 서울 서초구 방배로 234,126.989916,37.4941711
133,경복궁역점, 서울 종로구 자하문로 7,126.972187,37.5766992
134,광화문점, 서울 종로구 세종대로23길 15,126.975642,37.5714833
135,광화문트윈트리타워점, 서울 종로구 율곡로 6,126.980553,37.5754306
136,낙원동점, 서울 종로구 낙원동 ,우편번호없음,x좌표없음
137,대학로점, 서울 종로구 대학로10길 17,127.003160,37.5820727
138,독립문역점, 서울 종로구 통일로 266,126.956769,37.5758384
139,동대문역점, 서울 종로구 율곡로 286,127.008095,37.5718102
140,동묘역점, 서울 종로구 종로 354,127.016778,37.5730888
141,방통대점, 서울 종로구 대학로 81-1,127.001892,37.5784868
142,배화여대점, 서울 종로구 필운대로1길 35,126.967489,37.5777791
143,북촌마을점, 서울 종로구 북촌로5길 39,126.982692,37.5793232
144,삼일빌딩점, 서울 종로구 삼일대로15길 13,126.986713,37.5687642
145,상명대점, 서울 종로구 홍지동,우편번호없음,x좌표없음
146,성균관대점, 서울 종로구 성균관로 8,126.998315,37.5836404
147,숭인점, 서울 종로구 숭인동길 6,127.021578,37.5752685
148,신설점, 서울 종로구 난계로29길 30,127.021453,37.5742234
149,종각점, 서울 종로구 삼일대로19길 24,126.986192,37.5696471
150,종로3가점, 서울 종로구 종로 126,126.991512,37.5700801
151,종로4가점, 서울 종로구 김상옥로 1,126.997885,37.5734952
152,종로5가점, 서울 종로구 대학로 33,127.001813,37.5741980
153,종로교차로점, 서울 종로구 동호로 406-1,127.002232,37.5705851
154,종로구청점, 서울 종로구 수송동,우편번호없음,x좌표없음
155,종로르메이에르점, 서울 종로구 종로1가 르메이에르종로타운,126.979898,37.5708264
156,종로삼일대로점, 서울 종로구 삼일대로 390-1,126.983837,37.5704306
157,종로타워점, 서울 종로구 종로 51,126.983837,37.5704306
158,창덕궁점, 서울 종로구 돈화문로 41-1,126.991421,37.5722515
159,창신동점, 서울 종로구 종로 316-1,127.012963,37.5720351
160,창신중앙점,  서울 종로구 지봉로,우편번호없음,x좌표없음
161,탑골공원점, 서울 종로구 낙원동 ,우편번호없음,x좌표없음
162,혜화동로터리점, 서울 종로구 혜화로 3-1,127.000522,37.5860460
163,혜화역점, 서울 종로구 창경궁로 258-15,127.000624,37.5835864
