,제목,저자,출판사,출판일,가격,ISBN
54,"Computer Programming: 4 Books in 1: SQL for Beginners, C# for Beginners, C# for intermediate, Hacking with Kali Linux. Everything you Need f",,Alex Suzzi International Group Ltd,20201103.0,48150,9781914154096
55,"SQL For Beginners: SQL Made Easy; A Step-By-Step Guide to SQL Programming for the Beginner, Intermediate and Advanced User (Including Pro",,Antony Mwau,20190926.0,20600,9781951737252
56,"SQL Coding for Beginners: After work guide to start learning SQL on your own. Surprise yourself by discovering how to manage, analyze and manipu",,Francesco Cammardella,20201116.0,34410,9781990151064
57,Hands-On SQL Server 2019 Analysis Services: Design and query tabular and multi-dimensional models using Microsoft’s SQL Server Analysis Services,,Packt Publishing,20201023.0,77460,9781800204768
58,"Computer Programming Fundamentals (Coding For Beginners, Coding With Python, SQL Programming For Beginners, Coding HTML. A Complete Guide To Become A Programmer With A Crash Course)",,Lions Corporate Ltd,20201027.0,71820,9781801128797
59,"The Computer Programming Fundamentals (Coding For Beginners, Coding With Python, SQL Programming For Beginners, Coding HTML. A Complete Guide To Become A Programmer With A Crash Course)",,Lions Corporate Ltd,20201010.0,58450,9781801112109
60,Beginning SQL Server 2005 Express Database Applications with Visual Basic Express and Visual Web Developer Express: From Novice to Professional (From Novice to Professional),"Dobson, Rick",Apress,20051226.0,81540,9781590595237
61,Microsoft Certified Master: SQL Server 2008 Exam Preparation Course in a Book for Passing the Microsoft Certified Master: SQL Server 2008 Exam - T,,Emereo Pty Ltd,20110406.0,39040,9781743040591
62,Professional Azure SQL Database Administration: Equip yourself with the skills you need to manage and maintain your SQL databases on the Microsoft clo,,Packt Publishing,20180726.0,86070,9781789538854
63,"Web Coding Bible (18 Books in 1 -- HTML, CSS, JavaScript, PHP, SQL, XML, Svg, Canvas, Webgl, Java Applet, ActionScript, Htaccess, Jquery, Wordpress, S",,Chong Lip Phang,20150205.0,83520,9789671317501
64,"Delivering Business Intelligence with Microsoft SQL Server 2005: Utilize Microsoft’s Data Warehousing, Mining & Reporting Tools to Provide Critical In","Larson, Brian",McGraw-Hill Education,20060113.0,81730,9780072260908
65,"Up and Running with ClickHouse (Learn and Explore ClickHouse, It’s Robust Table Engines for Analytical Tasks, ClickHouse SQL, Integration with External Applications, and Managing the ClickHouse Server (English Edition))",,LIGHTNING SOURCE UK LTD,19000101.0,56730,9789391392246
