,제목,저자,출판사,출판일,가격,ISBN
0,자바 프로그래밍 Java Programming (어려운 자바 쉽게 공부하기 자바 최고의 멘토가 전하는 학습 노하우),오정원,혜지원,20130220.0,21600,9788983797773
1,SWT/JFace 인 액션 (이클립스 스타일로 만드는 자바 GUI 애플리케이션),매튜 스카피노,에이콘출판,20060727.0,27000,9788989975977
6,"애프터스킬 안드로이드 with Kotlin 앱 프로그래밍 가이드 (안드로이드 9.0 파이, 자바+코틀린 APP 개발 필독서)",안귀정,icox(아이콕스),20190112.0,36000,9791186886892
7,SOA : 자바 웹 서비스로 통하는 서비스 지향 아키텍처,마크 D. 한센,위키북스,20080425.0,27000,9788992939140
9,명품 JAVA Programming (귀로 배우는 자바가 아니라 눈으로 몸으로 배우는 자바강좌),황기태^김효수,생능출판,20180601.0,28000,9788970509471
10,Do it! 자료구조와 함께 배우는 알고리즘 입문: 자바 편 (엄선된 88개의 실습 예제와 93개의 연습 문제!),보요 시바타,이지스퍼블리싱,20180515.0,16200,9791163030072
11,초보자도 쉽게 배우는 자바 for 안드로이드 프로그래밍 (기초 자바를 통해 안드로이드 앱 개발에 도전한다!),조효은,정보문화사,20170615.0,22500,9788956747439
12,스트럿츠 2.3 프로그래밍 (자바 웹 애플리케이션 개발을 위한 오픈소스 프레임워크),현철주,에이콘출판,20121130.0,53100,9788960773714
13,JBoss AS 7 따라잡기 (강력한 오픈소스 자바 엔터프라이즈 애플리케이션 서버),프란체스코 마르치오니,에이콘출판,20131223.0,27000,9788960774995
14,"자바 기반의 마이크로서비스 이해와 아키텍처 구축하기 (스프링부트, 줄, 유레카, 터빈, 히스트릭스 대시보드, 서킷 브레이커)",박성훈,제이펍,20181015.0,19800,9791188621415
24,가장 빨리 만나는 스프링 부트 (모던 자바 개발을 가능하게 하는 SPRING BOOT!),마키 토시아키,길벗,20150702.0,13500,9791186659038
26,자바 프로그래밍 기초(JAVA Programming),진민,휴먼싸이언스,20161121.0,18000,9788993712780
30,게임기획자 바이블(GAME PLANNER BIBLE),이형록^강경명^이승희^이진무^최은혜,진한엠앤비,20080410.0,20700,9788984323421
32,애프터스킬 자바 프로그래밍 100% 실전 가이드 세트 - 전2권 (기본은 물론 응용까지 새로운 JAVA 필독서 / 최신 JDK 11 적용),심상원,아이콕스(iCox),20190520.0,54000,9791164260539
34,"네이버를 만든 기술, 읽으면서 배운다: 자바편",강경태,위키북스,20150305.0,0,9788998139780
36,자바 프로그래밍(Java for Programmers) (200개 이상의 예제 포함),폴 J. 디텔,비팬북스,20120824.0,34200,9788994797052
37,자바 데이터베이스 프로그래밍 마이바티스 입문과 활용 세트 (&lt;마이바티스 프로그래밍&gt; + &lt;마이바티스를 사용한 자바 퍼시스턴스 개발&gt;),이동국,에이콘출판,20130829.0,0,9788960774612
41,마이바티스 프로그래밍 (JDBC를 대체하는 쉽고 빠른 자바 데이터베이스 프레임워크),이동국,에이콘출판,20130423.0,31500,9788960774216
44,네티 인 액션 (Netty를 이용한 자바 기반의 고성능 서버 & 클라이언트 개발),노먼 마우러,위키북스,20160415.0,0,9791158390327
45,HTML CSS JAVASCRIPT 쉽게 배우기 (HTML과 CSS 그리고 자바스트립트를 처음 접하는 입문서),임정목,현우사,20100830.0,0,9788980813155
46,버그 없는 안전한 소프트웨어를 위한 CERT 자바 프로그래밍 (당신의 코딩 습관은 안전하지 않다),프레드 롱,한빛미디어,20120806.0,0,9788979149500
47,이클립스 RCP (자바 GUI 애플리케이션 개발을 위한 컴포넌트 아키텍처 플랫폼),제프 맥아퍼,에이콘출판,20120131.0,32400,9788960772700
48,자바로 시작하는 라즈베리 파이: BlueJ로 손쉬운 프로그래밍! (BlueJ로 손쉬운 프로그래밍),에사키 노리히데,영진닷컴,20190419.0,22500,9788931460162
54,스프링과 JPA를 활용한 자바 엔터프라이즈 애플리케이션 개발 세트 (자바 ORM 표준 JPA 프로그래밍 + 토비의 스프링 3.1 Vol. 1~2),김영한,에이콘출판,20150731.0,97200,9788960777446
