,제목,저자,출판사,출판일,가격,ISBN
40,신경언어학 (언어처리와 언어장애의 신경과학적 이해),JOHN C. L. LMN,시그마프레스,20100913,22500,9788958328407
41,왜 우리만이 언어를 사용하는가 (언어와 진화),로버트 C. 버윅,한울아카데미,20180831,28800,9788946071087
42,언어 교육과정 개발 (이론과 실제),JACK C. RICHARDS,한국문화사,20150315,19400,9788968172199
43,언어교육 응용언어학 사전,JACK C. RICHARDS^Richard W. Schmidt,글로벌콘텐츠,20161030,30400,9791158521202
44,제2언어 교육에서 교사의 성찰 (영어교육전문가를 위한 체계),Thomas S. C. Farrell,동인,20200229,14400,9788955068177
45,언어의 영웅들 (조지 허버트 조지 휫필드 C S 루이스),존 파이퍼,부흥과개혁사,20161120,9900,9788960924512
46,언어 교육의 접근 방법과 교수법,JACK C. RICHARDS^Theodore S. Rodgers,케임브리지,20170831,0,9788986744804
47,임상대화의 달인되기 (중재로서 언어),마티유 빌라트^제니퍼 빌라트^Steven C. Hayes,삶과지식,20220913,23400,9791185324654
48,IStorybook 3 Level C : The Three Billy Goats Gruffe (Storybook 1권 + Hybrid CD 1장 + Activity Book 1권),Language World 편집부,언어세상(외서),20091015,12320,9788925604398
49,IStorybook 3 Level C : The Sleeping Beauty (Storybook 1권 + Hybrid CD 1장 + Activity Book 1권),Language World 편집부,언어세상(외서),20091001,12600,9788925604374
50,IStorybook Level 3 C : Thumbelina (Storybook 1권 + Hybrid CD 1장 + Activity Book 1권),언어세상 편집부,언어세상(외서),20091001,2800,9788925604411
51,IStorybook 3 Level C : Puss in Boots (Storybook 1권 + Hybrid CD 1장 + Activity Book 1권),언어세상 편집부,언어세상(외서),20091001,12320,9788925604367
52,Istorybook 3 Level C : Cinderella (Storybook 1권 + Hybrid CD 1장 + Activity Book 1권),,언어세상(외서),20091001,12320,9788925604299
0,Power C Language (C 언어의 기초부터 이해하면서 배우기),장종준,다올미디어,20120112,0,9788996629740
1,STM32 Arm Programming for Embedded Systems (Using C Language with STM32F4 Arm),"Chen, Shujen",Microdigitaled,20180514,31200,9780997925944
2,Computer Programming using C Language,,LAP Lambert Academic Publishing,20200523,141180,9786202556460
3,Rle: Japan Mini-Set C: Language and Literature (8 Vols),,Routledge,20111230,1179830,9780415594394
4,C Programming Language,,LAP Lambert Academic Publishing,20180502,170450,9783330069794
5,Language C pour ingenieur,,KS OmniScriptum Publishing,20181017,144630,9786138408512
6,The C Programming Language 반양장 (Prentice Hall Software),"Brian W. Kernighan^Ritchie, Demmos M.^Ritchie, Dennis",Prentice-Hall,20160501,49000,9780131103627
