,제목,저자,출판사,출판일,가격,ISBN
96,순서도로 배우는 파이썬,김종훈,다올미디어,20160620.0,0,9788997587193
97,"파이썬 네트워킹 마스터 (실무자를 위한 파이썬 네트워크 자동화, DevOps, SDN 가이드)",에릭 추,에이콘출판,20180528.0,31500,9791161751573
98,"스파르타! 파이썬 포렌식 (쉽고, 빠르고, 강력한 무기)",쳇 호스머,비제이퍼블릭,20150424.0,25200,9788994774947
99,헬로 파이썬 프로그래밍 (쉽고 재미있게 프로그래밍 배우기),워렌 산데,위키북스,20140228.0,0,9788998139452
0,파이썬 네트워크 프로그래밍 (IoT 사물인터넷을 위한),서열규^전희성,복두출판사,20200110.0,23400,9791159066054
1,파이썬으로 시작하는 캐글 (예제 코드 상세 해설 수록),이시하라 쇼타로,제이펍,20210419.0,16200,9791190665841
2,난생처음 파이썬 프로그래밍,우재남^최민아,한빛아카데미,20210628.0,21600,9791156645528
3,파이썬으로 만드는 인공지능,오일석^이진선,한빛아카데미,20210105.0,28830,9791156645085
4,파이썬으로 코딩하는 물리,송오영,21세기사,20210302.0,26100,9788984686373
5,6개월 치 업무를 하루 만에 끝내는 업무 자동화 (비전공자가 파이썬을 업무에 활용하는 방법),반병현,생능출판,20201218.0,25200,9788970504742
6,프로그래밍의 정석: 파이썬 (제어 구조의 설계 원리를 중심으로 배우는),도경구,생능출판,20201229.0,25200,9788970504735
7,파이썬으로 만드는 OpenCV 프로젝트 (간단한 영상 입출력부터 머신러닝까지),이세우,인사이트,20190328.0,32400,9788966262410
8,"엑셀 × 파이썬 업무 자동화 (매크로, VBA는 이제 낡았다!)",카네히로 카즈미,인사이트,20201203.0,16200,9788966262847
9,똑똑한 코드 작성을 위한 실전 알고리즘 (파이썬 예제로 문제 해결 전략 익히기),조지 하이네만,한빛미디어,20220520.0,17820,9791162245644
10,파이썬 for Beginner (쉽고 빠르게 익히는 프로그래밍의 기본 원리),우재남,한빛아카데미,20220103.0,23250,9791156645740
11,쉽게 이해되는 파이썬 프로그래밍,유석종^창병모,인피니티북스,20220228.0,24300,9791185578972
12,파이써닉한 파이썬을 익히는 간결한 안내서,데이비드 M. 비즐리,인사이트,20220822.0,17550,9788966263653
13,프로그래머를 위한 파이썬 (실전 프로젝트로 배우는 소프트웨어 개발의 원리와 정석),데인 힐라드,제이펍,20201113.0,22500,9791190665636
14,파이썬으로 구현한 인공지능,박태희,홍릉,20210906.0,22770,9791156008446
15,파이썬을 이용한 수치해석,류권규,씨아이알,20201228.0,31500,9791156108627
16,알 스웨이가트의 파이썬 프로젝트 (81개의 실습 예제로 시작하는 파이썬 프로그래밍 입문),알 스웨이가트,제이펍,20220224.0,25200,9791191600667
17,특강마스터 파이썬 마스터 3급,김상민,렉스미디어닷넷,20211201.0,16200,9788959604142
18,"파이썬 GUI 프로그래밍 쿡북 (Tkinter, PyQt5를 활용한 반응형 사용자 인터페이스 개발)",부르크하르트 메이어,에이콘출판,20210930.0,31500,9791161755717
19,누구나 쉽게 컴퓨팅 사고 with 파이썬 (누구나 쉽게),김현정^황숙희,길벗캠퍼스,20220620.0,24900,9791140700226
20,금융 데이터를 위한 파이썬 (부동산&주식 데이터 수집ㆍ분석ㆍ활용까지),테리엇,비제이퍼블릭,20200626.0,21600,9791190014984
21,colab에서 파이썬 빅데이터 처리,진하수,부크크(bookk),20220614.0,19900,9791137285651
22,윤성우의 열혈 파이썬 중급편,윤성우,오렌지미디어,20191029.0,14400,9788996094098
23,경영학과 함께하는 파이썬 인공지능,박경욱^박주영^김태환,드림미디어,20220302.0,26600,9788991051621
24,파이썬 데이터 과학 통계 학습 (Python Data Science Statistical Learning),황보현우^정지현,정보문화사,20210525.0,26100,9788956749075
25,프로그래머가 알아야 할 알고리즘 40 (파이썬 예제로 배우는 필수 알고리즘!),임란 아마드,길벗,20220429.0,21600,9791165219642
26,Do it! 점프 투 장고 (파이썬 웹 개발부터 배포까지!),박응용,이지스퍼블리싱,20210106.0,17820,9791163032106
27,비공대생을 위한 코딩 첫걸음 with 파이썬,김일민,한성대학교출판부,20200901.0,18000,9788968200441
28,해커의 언어 파이썬 3 입문 (보안 분야에 가장 필요한 파이썬 3 문법 체계),오동진,에이콘출판,20180319.0,22500,9791161751344
29,함수형 파이썬 프로그래밍 (파이썬으로 배우는 쉬운 함수형 프로그래밍),스티븐 로트,에이콘출판,20170228.0,27000,9788960779761
