,제목,저자,출판사,출판일,가격,ISBN
36,Visual Basic 2008 for Windows and Mobile Applications (Introductory),"Shelly, Gary B./ Hoisington, Corinne",Course Technology Ptr,20080410.0,218500,9781423927143
37,Visual Basic 2008 Recipes: A Problem-Solution Approach (A Problem-solution Approach),,Apress,20080422.0,86430,9781590599709
38,Visual Basic 2005 With .NET 3.0 Programmer’s Reference 반양장,"Stephens, Rod",Wiley,20210101.0,0,9780470137055
39,Learn to Program with Visual Basic 2010 Express,,John Smiley Publishing,20100609.0,51630,9780982734902
40,A Programmer’s Introduction to Visual Basic.Net,,Sams,20011201.0,51990,9780672322648
41,Developing Secure Applications with Visual Basic,,Sams,20000601.0,51990,9780672318368
42,"Starting Out With Visual Basic 2008 Update, 4/e 반양장","Gaddis, Tony/ Irvine, Kip",Addison-Wesley,20210101.0,0,9780136076957
43,Object-Oriented Programming with Visual Basic.Net,,Cambridge University Press,20040621.0,96210,9780521539838
44,Developing Applications with Visual Basic and UML,,Addison-Wesley Professional,19991101.0,59360,9780201615791
45,Visual Basic .Net Database Programming for Dummies,,For Dummies,20011129.0,51990,9780764508745
46,Dan Applemans’s Visual Basic Programmer’s Guide to,"Appleman, Dan",Prentice-Hall,19990301.0,0,9780672315909
47,Microsoft Visual Basic Game Programming For Teens 2/e,"Harbour, Jonathan S.",Course Technology,20210101.0,0,9781598633900
48,Practical Database Programming with Visual Basic. NET,"Bai, Ying",Cambridge,20210101.0,130480,9780521712354
49,Visual Basic Graphics Programming w/WS [With CDROM] (Hands-On Applications and Advanced Color Development),"Stephens, Rod",John Wiley & Sons,19991101.0,89170,9780471355991
50,Asp.Net Website Programming (Problem-Design-Solution : Visual Basic .Net Edition),"Bellinaso, Marco",WROX Press,20030116.0,104030,9780764543869
51,Windows Azure實踐クラウド.プログラミング for C＃/Visual Basic/PHP,야마다 요시히로,秀和システム,20100801.0,42020,9784798026954
52,Visual Basic 2005 Jumpstart: Make Your Move Now from Vb6 to VB 2005,"Lee, Wei-Meng",O&#39;Reilly,20210101.0,22210,9780596100711
53,Introduction to Programming:Using Visual Basic 4.0 2/E,"Schneider,D.I.",Prentice Hall,20210101.0,18750,9780132753142
54,Visual Basic in Easy Steps: Covers Visual Basic 2015,,In Easy Steps,20160229.0,19600,9781840787016
55,Visual Basic 2005 Cookbook: Solutions for VB 2005 Programmers (Solutions for Vb 6 And Vb 2005 Programmers),,Oreilly & Associates Inc,20060801.0,74290,9780596101770
56,Practical Database Programming with Visual Basic.NET,IEEE Computer Society Press,John Wiley & Sons Inc,20120619.0,158940,9781118162057
57,Catia V5: Macro Programming with Visual Basic Script,McGraw-Hill Professional Publishing,McGraw-Hill,20130311.0,170010,9780071800020
58,Sams Teach Yourself More Visual Basic.Net in 21 Days,"Mauer, Lowell",Sams,20011201.0,59430,9780672322716
59,Wrox’s Visual Basic 2005 Express Edition Starter Kit,,WROX Press,20060118.0,35000,9780764595738
60,Beginning SQL Server 2000 for Visual Basic Developers,,Apress,20030901.0,65230,9781590592731
61,Sams Teach Yourself Visual Basic .Net 2003 in 21 Days,"Holzner, Steven",Sams,20030501.0,74290,9780672325311
62,Practical Database Programming with Visual Basic. NET,"Bai, Ying",Cambridge,20081031.0,205530,9780521885188
63,An Introduction to Programming Using Visual Basic 2012,,Prentice Hall,20130325.0,184770,9780133414653
64,Visual Basic .Net All in One Desk Reference for Dummies,,For Dummies,20030321.0,74290,9780764525797
65,Introduction to Programming Using Visual Basic 2005 반양장,"Schneider, David I.",Prentice-Hall,20060430.0,0,9780130306548
66,Expert One-On-One Visual Basic 2005 Database Programming,,WROX Press,20051201.0,49000,9780764576782
67,Sams Teach Yourself Visual Basic 2010 in 24 Hours [With DVD] (Complete Starter Kit),"Foxall, James",Sams,20210101.0,46030,9780672331138
68,Programming in Visual Basic 2010 : The Very Beginner’s Guide (The Very Beginner’s Guide),"McKeown, Jim",Cambridge,20210101.0,427020,9780521896535
69,C# Database Basics: Moving from Visual Basic and VBA to C#,"Schmalz, Michael",O&#39;Reilly Media,20120206.0,26030,9781449309985
70,Developing Gis Solutions With Mapobjects and Visual Basic 반양장,"Ralston, Bruce A.",Thomson Learning,20210101.0,0,9780766854383
71,Stephens’ Visual Basic Programming 24-hour Trainer with DVD,Stephens,Wiley Publishing,20110121.0,59360,9780470943359
72,DATABASE PROGRAMMING WITH VISUAL BASIC .NET AND ADO.NET(한국어판) (한국어판),F. SCOTT BARKER,한산,20030710.0,25000,9788989215080
73,Building Applications and Compoents with Visual Basic .NET 반양장,Pattison,Addison Wesley,20031023.0,0,9780201734959
74,Build Your Own PC Game in Seven Easy Steps: Using Visual Basic,,Addison-Wesley Professional,19951201.0,74290,9780201489118
75,Scot Hillier’s COM+ Programming with Visual Basic (with CDROM),,Sams,20000901.0,59430,9780672319730
76,Book of Visual Basic 2005 : NET Insight for Classic VB Developers,"MacDonald, Matthew",No Starch,20210101.0,0,9781593270742
77,Advanced Visual Basic 6: Power Techniques for Everyday Programs (Power Techniques for Everyday Programs),,Addison-Wesley,20000701.0,65160,9780201707120
78,Programming With Microsoft Visual Basic 6.0 : Enhanced Edition 반양장,"Zak, Diane",Course Technology,20210101.0,0,9780619062040
79,"Visual Basic .Net Developer’s Guide to ASP .Net, XML and ADO.NET",,Addison-Wesley Professional,20020201.0,74290,9780672321313
80,.Net Enterprise Design with Visual Basic.Net and SQL Server 2000,,Sams,20011201.0,81720,9780672322334
81,Getting Started With Visual Basic 6.0: The Beginner’s Test Panel (The Beginner’s Test Panel),,Total Recall Publications Inc.,20060430.0,43040,9781590950500
82,Programming Windows Services with Microsoft Visual Basic 2008 반양장,Microsoft Press Staff,Microsoft Press,20080210.0,0,9780735624337
83,Designing Enterprise Applications With Microsoft Visual Basic .Net,"Oliver, Robert Ian",Microsoft Press,20021101.0,74290,9780735617216
84,Embedded Visual Basic: Windows CE and Pocket PC Mobile Applications (Windows CE and Pocket PC Mobile Applications),,Sams,20011201.0,74290,9780672322778
85,Learn Visual Basic 2019 Edition: A Step-By-Step Programming Tutorial,,Kidware Software,20190801.0,146270,9781951077105
86,Home Automation Basics - Practical Applications Using Visual Basic 6 (Digital Carrier),"Leonik, Tom E.",Delmar Publishers,20000101.0,241330,9780790612140
87,Dan Appleman’s Developing Com/Activex Components With Visual Basic 6,"Appleman, Dan",Sams,19981001.0,0,9781562765767
88,"Introduction to Programming Using Visual Basic, Student Value Edition",,Pearson College Div,20160428.0,171310,9780134521589
89,"Database Design and Programming with Access, SQL, Visual Basic and ASP",,McGraw-Hill College,20020901.0,91870,9780077099862
90,"Microsoft Visual Basic 2017 for Windows, Web, and Database Applications: Comprehensive (Comprehensive)",,Course Technology Ptr,20170615.0,314070,9781337102117
91,Microsoft Visual Basic Programs to Accompany Programming Logic and Design,"Smith, Jo Ann",Cengage Learning,20140212.0,237680,9781285867397
